Mom ID,i25,i2,i8,i2,i5,i1,i65,i8,i8,i10,i2,i99,i3,i29,i68,i40,i90,i103,i2,i4,i5,i83,i11,i82,i2,i4,i24,i22,i26,i40,i41,i37,i27,i10,i103,i7,i39,i16,i65,i90,i14,i103,i88,i30,i1,i35,i97,i12,i11,i23,i1,i107,i8,i4,i102,i48,i1649,i2299,i1651,i2285,i1661,i1666,i2291,i47,i2289,i2295,i1670,i1656,i1655,i2295,i48,i2296,i2288,i45,i1678,i2281
13.000,,,1,,0,,,,0,,,0,2,0,0,0,,2,,,3,4,,0,0,0,1,,0,4,,,,0,2,0,0,0,4,0,0,2,0,0,0,,0,0,,,,0,,,,0,0,0,,,0,,0,0,0,,0,,0,0,0,0,0,0,0,0
15.000,,,4,,0,,,,0,,,0,2,0,0,0,,2,,,5,4,,0,0,0,1,,,6,,,,0,4,0,0,0,4,0,0,2,0,0,0,,0,0,,,,2,,,,0,1,0,,,0,,0,0,0,,0,,0,0,0,1,0,0,0,0
17.000,,,4,,0,,,,0,,,0,3,0,0,0,,3,,,5,4,,0,0,0,1,,,6,,,,0,4,0,0,0,4,0,0,5,0,0,0,,0,0,,,,,,,,0,1,0,,,0,,0,0,0,,0,,0,,0,1,1,0,0,0
19.000,,,4,,2,,,,0,,,0,5,0,0,1,,3,,,5,4,,2,0,0,1,,,6,,,,0,4,3,0,0,4,0,0,5,,0,0,,0,0,,,,,,,,0,2,0,,,1,,0,0,0,,0,,0,,0,1,1,,0,
21.000,,,4,,2,,,,0,,,0,5,0,0,1,,4,,,10,4,,2,0,0,1,,,6,,,,1,6,3,0,0,4,0,0,5,,0,0,,,0,,,,,,,,0,,0,,,1,,0,0,0,,1,,1,,0,2,1,,0,
23.000,,,5,,2,,,,0,,,0,7,0,,1,,4,,,10,4,,2,0,0,1,,,6,,,,4,8,4,0,0,,0,0,5,,0,0,,,0,,,,,,,,,,0,,,1,,0,0,0,,1,,1,,0,2,1,,0,
25.000,,,5,,,,,,0,,,0,7,0,,1,,6,,,10,4,,2,,0,3,,,,,,,4,8,4,0,0,,0,1,7,,0,0,,,,,,,,,,,,,0,,,1,,,0,,,1,,1,,0,2,1,,0,
27.000,,,5,,,,,,0,,,0,7,,,1,,6,,,12,4,,3,,0,3,,,,,,,5,9,6,0,0,,0,1,8,,,0,,,,,,,,,,,,,,,,2,,,0,,,1,,1,,0,2,1,,0,
29.000,,,7,,,,,,0,,,0,9,,,1,,8,,,12,4,,5,,,4,,,,,,,5,9,6,0,0,,0,1,8,,,0,,,,,,,,,,,,,,,,2,,,0,,,1,,1,,0,2,2,,0,
31.000,,,7,,,,,,0,,,0,9,,,1,,8,,,13,4,,5,,,4,,,,,,,7,10,6,0,,,,1,8,,,0,,,,,,,,,,,,,,,,2,,,0,,,,,2,,0,2,2,,0,
33.000,,,7,,,,,,0,,,,9,,,,,8,,,13,4,,6,,,5,,,,,,,7,10,6,0,,,,1,,,,0,,,,,,,,,,,,,,,,2,,,0,,,,,2,,0,2,2,,0,
35.000,,,7,,,,,,0,,,,9,,,,,9,,,,4,,6,,,5,,,,,,,9,10,6,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,0,,,,,3,,0,2,,,0,
37.000,,,7,,,,,,0,,,,9,,,,,9,,,,4,,6,,,6,,,,,,,9,11,6,,,,,,,,,0,,,,,,,,,,,,,,,,2,,,,,,,,5,,0,2,,,,
39.000,,,7,,,,,,0,,,,10,,,,,11,,,,4,,,,,6,,,,,,,10,11,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,,0,2,,,,
41.000,,,8,,,,,,0,,,,10,,,,,11,,,,4,,,,,6,,,,,,,10,11,6,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,,0,2,,,,
43.000,,,8,,,,,,0,,,,11,,,,,11,,,,4,,,,,6,,,,,,,,11,7,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,,0,2,,,,
45.000,,,8,,,,,,0,,,,11,,,,,11,,,,4,,,,,7,,,,,,,,11,8,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,,0,2,,,,
47.000,,,8,,,,,,0,,,,11,,,,,11,,,,4,,,,,7,,,,,,,,11,8,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,5,,0,,,,,
49.000,,,8,,,,,,0,,,,11,,,,,,,,,4,,,,,9,,,,,,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0,,,,,
51.000,,,8,,,,,,0,,,,11,,,,,,,,,,,,,,9,,,,,,,,12,8,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0,,,,,
53.000,,,9,,,,,,,,,,11,,,,,,,,,,,,,,9,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0,,,,,
55.000,,,9,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0,,,,,
57.000,,,9,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0,,,,,
59.000,,,9,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,0,,,,,
61.000,,,9,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
63.000,,,9,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
65.000,,,9,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
67.000,,,9,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
69.000,,,9,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.000,,,9,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.000,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.000,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.000,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.000,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
